Qty,Designator,Footprint,Comment,LCSC Part #,Description,Value
1,Z_OUT,SML0603,LEDSML0603,,LED,
1,U3,MOUDLE14P-2.54-21X17.8MM,MOUDLE-SEEEDUINO-XIAO,,,
1,R1,603,RESISTOR0603,,Generic Resistor Package, 720R
4,"C11, C12, C13, C14",0603-CAP,0.1UF-25V-5%(0603),,CAP-08604,0.1uF
1,C3,603,9.0PF-0603-50V-10%,,9.0pF ceramic capacitors,0.1uF
2,"R3, R4",0603-RES,100OHM-1/10W-1%(0603),,RES-07863,100
1,R13,0603-RES,10KOHM-1/10W-1%(0603)0603,,RES-00824,10K
2,"C1, C2",1210,10UF50V20%(1210),,CAP-09824,10uF
1,R14,603,RESISTOR0603,,Generic Resistor Package,15
1,C4,603,9.0PF-0603-50V-10%,,9.0pF ceramic capacitors,1uf
1,R12,0603-RES,20KOHM1/10W1%(0603),,RES-09383,20k
1,R2,603,RESISTOR0603,,Generic Resistor Package,240R
1,R15,603,RESISTOR0603,,Generic Resistor Package,2K
1,L2,805,INDUCTOR0805-IND,,Inductors,3.3uH
1,R11,0603-RES,8.2KOHM-1/10W-5%(0603),,RES-10646,8.2K
1,X9,JST-XH-02-PACKAGE-LONG-PAD,JST-XH-02-PIN-LONG-PAD,,JST XH Connector 2 Pin,ABL_LED
1,U$2,FRACKTALLOGO,FRACKTALLOGO,,,FRACKTALLOGO
1,U1,SO16,HX711HX711,,,HX711
1,X4,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,INPUT
1,U2,SOT223,V_REG_317SMD,,Voltage Regulator,LM317
1,X5,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,LOADCELL
1,X2,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,LOADCELL 2
1,X1,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,LOADCELL 3
1,Q2,SOT23-3,TRANSISTOR_PNPMMBT4403,,Generic PNP BJT,MMBT4403
4,"24V, GND, ZDIR, ZOUT","B2,54","TPB2,54",,Test pad,"TPB2,54"
